company,year,invest,mvalue,kstock,time
1,1935,317.60001,3078.5,2.8,1
1,1936,391.79999,4661.7002,52.599998,2
1,1937,410.60001,5387.1001,156.89999,3
1,1938,257.70001,2792.2,209.2,4
1,1939,330.79999,4313.2002,203.39999,5
1,1940,461.20001,4643.8999,207.2,6
1,1941,512,4551.2002,255.2,7
1,1942,448,3244.1001,303.70001,8
1,1943,499.60001,4053.7,264.10001,9
1,1944,547.5,4379.2998,201.60001,10
1,1945,561.20001,4840.8999,265,11
2,1935,209.89999,1362.4,53.799999,1
2,1936,355.29999,1807.1,50.5,2
2,1937,469.89999,2676.3,118.1,3
2,1938,262.29999,1801.9,260.20001,4
2,1939,230.39999,1957.3,312.70001,5
2,1940,361.60001,2202.8999,254.2,6
2,1941,472.79999,2380.5,261.39999,7
2,1942,445.60001,2168.6001,298.70001,8
2,1943,361.60001,1985.1,301.79999,9
2,1944,288.20001,1813.9,279.10001,10
2,1945,258.70001,1850.2,213.8,11
3,1935,33.099998,1170.6,97.800003,1
3,1936,45,2015.8,104.4,2
3,1937,77.199997,2803.3,118,3
3,1938,44.599998,2039.7,156.2,4
3,1939,48.099998,2256.2,172.60001,5
3,1940,74.400002,2132.2,186.60001,6
3,1941,113,1834.1,220.89999,7
3,1942,91.900002,1588,287.79999,8
3,1943,61.299999,1749.4,319.89999,9
3,1944,56.799999,1687.2,321.29999,10
3,1945,93.599998,2007.7,319.60001,11
4,1935,40.290001,417.5,10.5,1
4,1936,72.760002,837.79999,10.2,2
4,1937,66.260002,883.90002,34.700001,3
4,1938,51.599998,437.89999,51.799999,4
4,1939,52.41,679.70001,64.300003,5
4,1940,69.410004,727.79999,67.099998,6
4,1941,68.349998,643.59998,75.199997,7
4,1942,46.799999,410.89999,71.400002,8
4,1943,47.400002,588.40002,67.099998,9
4,1944,59.57,698.40002,60.5,10
4,1945,88.779999,846.40002,54.599998,11
5,1935,39.68,157.7,183.2,1
5,1936,50.73,167.89999,204,2
5,1937,74.239998,192.89999,236,3
5,1938,53.509998,156.7,291.70001,4
5,1939,42.650002,191.39999,323.10001,5
5,1940,46.48,185.5,344,6
5,1941,61.400002,199.60001,367.70001,7
5,1942,39.669998,189.5,407.20001,8
5,1943,62.240002,151.2,426.60001,9
5,1944,52.32,187.7,470,10
5,1945,63.209999,214.7,499.20001,11
6,1935,20.360001,197,6.5,1
6,1936,25.98,210.3,15.8,2
6,1937,25.940001,223.10001,27.700001,3
6,1938,27.530001,216.7,39.200001,4
6,1939,24.6,286.39999,48.599998,5
6,1940,28.540001,298,52.5,6
6,1941,43.41,276.89999,61.5,7
6,1942,42.810001,272.60001,80.5,8
6,1943,27.84,287.39999,94.400002,9
6,1944,32.599998,330.29999,92.599998,10
6,1945,39.029999,324.39999,92.300003,11
7,1935,24.43,138,100.2,1
7,1936,23.209999,200.10001,125,2
7,1937,32.779999,210.10001,142.39999,3
7,1938,32.540001,161.2,165.10001,4
7,1939,26.65,161.7,194.8,5
7,1940,33.709999,145.10001,222.89999,6
7,1941,43.5,110.6,252.10001,7
7,1942,34.459999,98.099998,276.29999,8
7,1943,44.279999,108.8,300.29999,9
7,1944,70.800003,118.2,318.20001,10
7,1945,44.119999,126.5,336.20001,11
8,1935,12.93,191.5,1.8,1
8,1936,25.9,516,.80000001,2
8,1937,35.049999,729,7.4000001,3
8,1938,22.889999,560.40002,18.1,4
8,1939,18.84,519.90002,23.5,5
8,1940,28.57,628.5,26.5,6
8,1941,48.509998,537.09998,36.200001,7
8,1942,43.34,561.20001,60.799999,8
8,1943,37.02,617.20001,84.400002,9
8,1944,37.810001,626.70001,91.199997,10
8,1945,39.27,737.20001,92.400002,11
9,1935,26.629999,290.60001,162,1
9,1936,23.389999,291.10001,174,2
9,1937,30.65,335,183,3
9,1938,20.889999,246,198,4
9,1939,28.780001,356.20001,208,5
9,1940,26.93,289.79999,223,6
9,1941,32.080002,268.20001,234,7
9,1942,32.209999,213.3,248,8
9,1943,35.689999,348.20001,274,9
9,1944,62.470001,374.20001,282,10
9,1945,52.32,387.20001,316,11
10,1935,2.54,70.910004,4.5,1
10,1936,2,87.940002,4.71,2
10,1937,2.1900001,82.199997,4.5700002,3
10,1938,1.99,58.720001,4.5599999,4
10,1939,2.03,80.540001,4.3800001,5
10,1940,1.8099999,86.470001,4.21,6
10,1941,2.1400001,77.68,4.1199999,7
10,1942,1.86,62.16,3.8299999,8
10,1943,.93000001,62.240002,3.5799999,9
10,1944,1.1799999,61.82,3.4100001,10
10,1945,1.36,65.849998,3.3099999,11
